1	1	1	1	1	0	17	-5	-12	17	-17	-7
1	1	1	1	0	1	17	-12	-5	17	-7	-17
-1	-1	1	-1	-1	0	-17	5	-12	-17	17	-7
-1	-1	1	-1	0	1	-17	12	-5	-17	7	-17
-1	1	1	-1	1	0	17	5	12	17	17	7
-1	1	1	-1	0	1	17	12	5	17	7	17
1	-1	1	1	-1	0	-17	-5	12	-17	-17	7
1	-1	1	1	0	1	-17	-12	5	-17	-7	17
											
1	1	1	0	1	1	-12	17	-5	-7	17	-17
1	1	1	1	1	0	-5	17	-12	-17	17	-7
-1	-1	1	0	-1	1	12	-17	-5	7	-17	-17
-1	-1	1	-1	-1	0	5	-17	-12	17	-17	-7
-1	1	1	0	1	1	-12	-17	5	-7	-17	17
-1	1	1	-1	1	0	-5	-17	12	-17	-17	7
1	-1	1	0	-1	1	12	17	5	7	17	17
1	-1	1	1	-1	0	5	17	12	17	17	7
											
1	1	1	1	0	1	-5	-12	17	-17	-7	17
1	1	1	0	1	1	-12	-5	17	-7	-17	17
-1	-1	1	-1	0	1	5	12	17	17	7	17
-1	-1	1	0	-1	1	12	5	17	7	17	17
-1	1	1	-1	0	1	-5	12	-17	-17	7	-17
-1	1	1	0	1	1	-12	5	-17	-7	17	-17
1	-1	1	1	0	1	5	-12	-17	17	-7	-17
1	-1	1	0	-1	1	12	-5	-17	7	-17	-17
